,ZETA,U Bar of 0.7403,A of 0.7403,B of 0.7403,R tilde of 0.7403,U Bar of 0.7406,A of 0.7406,B of 0.7406,R tilde of 0.7406,U Bar of 0.7409,A of 0.7409,B of 0.7409,R tilde of 0.7409,U Bar of 0.7412,A of 0.7412,B of 0.7412,R tilde of 0.7412,U Bar of 0.7415,A of 0.7415,B of 0.7415,R tilde of 0.7415,U Bar of 0.7418,A of 0.7418,B of 0.7418,R tilde of 0.7418,U Bar of 0.7421,A of 0.7421,B of 0.7421,R tilde of 0.7421,U Bar of 0.7424,A of 0.7424,B of 0.7424,R tilde of 0.7424,U Bar of 0.7427,A of 0.7427,B of 0.7427,R tilde of 0.7427
995,13.257828114590273,0.0005393284393076852,-0.02956628530313047,0.029566266422953673,3.9494849845722764e-05,0.0005390502600226833,-0.029578363591722452,0.029578669055058626,3.9473995682440203e-05,0.000520404705327057,-0.029604682224486988,0.029604548885489208,3.810760977110555e-05,0.0005069742255756947,-0.029625982635229392,0.02962699134043365,-3.712332577377137e-05,0.00046968044446950785,-0.02966886906497631,0.02966912990330164,-3.4391016413951487e-05,0.0004710383769694346,-0.029679631737699327,0.02968039971038991,3.449006721108925e-05,0.00046569286004373753,-0.029697395135058733,0.029697396391027583,3.409806859913706e-05,0.0004528776143573471,-0.029720450238824997,0.029720461865348692,3.315897061688306e-05,0.0004490907735964379,-0.029736119746149002,0.029736059353966934,3.288119017423305e-05
996,13.271152564956695,0.000534088471212003,-0.029535705996571033,0.029535687228151742,3.9073055255922305e-05,0.0005338127788664933,-0.029547771074813326,0.02954807664984297,3.9052408539975075e-05,0.0005153311810461558,-0.029574062141436493,0.029573928906588436,3.769935814382223e-05,0.0005020192191432177,-0.029595338646208058,0.029596347450304247,-3.672471132395621e-05,0.00046505625348395137,-0.029638180186650567,0.029638441109896163,-3.401927798023307e-05,0.0004664021706269514,-0.029648930853156036,0.0296496989113022,3.411735757716411e-05,0.0004611043228451908,-0.029666676142760376,0.02966667748229463,3.3729233961555304e-05,0.0004484035511363408,-0.02968970667231762,0.02968971837790838,3.2799432017776996e-05,0.0004446506351423823,-0.029705359561225882,0.02970529924683206,3.2524409056907415e-05
997,13.284477015323118,0.0005288989892087353,-0.02950518989703036,0.029505171238093028,3.865577085517944e-05,0.0005286257621164078,-0.029517241793034454,0.02951754747748323,3.863532954189002e-05,0.0005103067140166752,-0.02954350535218378,0.02954337221935789,3.7295485767080384e-05,0.000497112248876533,-0.029564758001863905,0.029565766902827077,-3.633038266220589e-05,0.00046047723246888457,-0.02960755474854924,0.02960781575496417,-3.365156342728101e-05,0.00046181123804634274,-0.029618293434391138,0.029619061576231395,3.374868125222621e-05,0.0004565606440570353,-0.02963602065478361,0.029636022076158983,3.336439467421964e-05,0.00044397334701633116,-0.029659026662442533,0.029659038445464803,3.2443797574192984e-05,0.00044025405872652327,-0.029674662968310627,0.029674602730094753,3.217150496361688e-05
998,13.29780146568954,0.0005237595117076726,-0.02947473680868326,0.029474718256998617,3.8242948337417944e-05,0.0005234887283636174,-0.029486775550471005,0.02948708134211084,3.822271040192166e-05,0.0005053308345280083,-0.029513011660626844,0.029512878627738985,3.689594558558828e-05,0.0004922528535910011,-0.02953424050593262,0.02953524950177924,-3.594029362910297e-05,0.0004559429443175859,-0.02957699255410313,0.029577253641972525,-3.328782911864545e-05,0.0004572651412497,-0.029587719284753934,0.029588487508563074,3.338399450925101e-05,0.00045206138921350997,-0.029605428474354784,0.029605429975882537,3.300350737787989e-05,0.0004395865759974312,-0.02962841001225918,0.029628421871111213,3.2092024811637476e-05,0.0004359006208759778,-0.02964402977034984,0.029643969606734925,3.1822435684071775e-05
999,13.311125916055962,0.0005186695616499553,-0.029444346536512844,0.029444328089896964,3.7834539914562654e-05,0.0005184012007305146,-0.029456372152016838,0.02945667804866497,3.781450335171347e-05,0.0005004030773089786,-0.02948258087147317,0.029482447936481724,3.6500691050476404e-05,0.0004874405764707947,-0.02950378596296005,0.02950479505174716,-3.555439856301342e-05,0.00045145295610131013,-0.029546493407554504,0.029546754575198817,-3.292803189192984e-05,0.0004527634464477946,-0.029557208208405548,0.02955797651249388,3.302325409639389e-05,0.0004476061280077454,-0.029574899405512594,0.029574900985538794,3.264652918485771e-05,0.0004352428161672028,-0.029597856525640065,0.029597868458753215,3.174407171853411e-05,0.0004315899021819963,-0.029613459771103644,0.029613399680545317,3.147715946816659e-05
1000,13.324450366422385,0.0005136286664692242,-0.029414018886306362,0.029414000542619733,3.7430498311198666e-05,0.0005133627068302921,-0.02942603140337032,0.02942633740288839,3.741066113536216e-05,0.0004955229814867088,-0.029452212790235542,0.02945207995114056,3.610967611384663e-05,0.00048267496503269676,-0.029473394178298053,0.029474403358122434,-3.517265229503711e-05,0.00044700683902939453,-0.029516057113952915,0.029516318359727196,-3.257212905358737e-05,0.00044830572399337515,-0.029526760010314727,0.02952752839302736,3.266641723128509e-05,0.0004431944342485085,-0.02954443325310388,0.02954443491000869,3.229341767361032e-05,0.00043094164966378073,-0.029567366007266546,0.029567378013104585,3.139989674129436e-05,0.0004273214872659443,-0.029582952775141513,0.02958289275612733,3.1135635021272185e-05
1001,13.337774816788807,0.0005086363580477623,-0.02938375366465106,0.029383735421797688,3.7030776758896756e-05,0.0005083727787248137,-0.0293957531110302,0.029396059211323333,3.701113700387027e-05,0.0004906900905468604,-0.029421907223227912,0.029421774478070255,3.572285522345282e-05,0.000477955571083523,-0.029443064958100323,0.02944407422709769,-3.47950101435232e-05,0.0004426041684115724,-0.029485683479151044,0.029485944801444227,-3.2220078373908424e-05,0.00044389154835012753,-0.0294963744962537,0.029497142955969825,3.2313441596497996e-05,0.00043882588582431765,-0.029514029822779474,0.029514031554976457,3.1944130883862346e-05,0.0004266826626358506,-0.029536938262624674,0.029536950339683118,3.105945877918777e-05,0.0004230949647410709,-0.02955250858783807,0.029552448638886883,3.079782149924853e-05
1002,13.35109926715523,0.0005036921726782509,-0.029353550678930057,0.029353532534856588,3.663532899098022e-05,0.0005034309528849494,-0.029365537082291473,0.029365843281307414,3.661588470980994e-05,0.00048590395228679617,-0.02939166397756127,0.029391531324421776,3.5340183316897636e-05,0.00047328195067694974,-0.02941279810931827,0.02941380746566247,-3.4421427908574285e-05,0.00043824452362054125,-0.02945537230980057,0.02945563370703478,-3.1871838082055544e-05,0.0004395204980466765,-0.029466051472794023,0.029466820007926206,3.1964285333955805e-05,0.0004345000646625008,-0.02948368892099006,0.029483690726925475,3.159862731139806e-05,0.0004224654452062875,-0.029506573098001046,0.02950658524480651,3.0722717179508124e-05,0.00041890992717154025,-0.029522127015368976,0.02952206713503026,3.0463678503287435e-05
1003,13.364423717521653,0.0004987956510220508,-0.029323409737318278,0.029323391690013113,3.624410923706941e-05,0.0004985367701460596,-0.0293353831252413,0.02933568942096954,3.622485850166531e-05,0.00048116411878602314,-0.02936148286113955,0.029361350298138224,3.496161581711844e-05,0.0004686536640842665,-0.02938259343969693,0.029383602881599174,-3.405186186759409e-05,0.000433927488048681,-0.02942512341334807,0.029425384883977928,-3.1527366860702175e-05,0.0004351921556411468,-0.029435790747302487,0.029436559356295987,3.16189070401379e-05,0.00043021655669598464,-0.02945341035498206,0.0294534122331342,3.125686590344564e-05,0.00041828959143032677,-0.0294762703204787,0.02947628253558825,3.0389631732370385e-05,0.00041476597103896364,-0.029491807864706784,0.029491748051560025,3.0133166075329993e-05
1004,13.377748167888075,0.0004939463380678335,-0.029293330648778357,0.02929331269627082,3.5857072217683316e-05,0.0004936897756707333,-0.029305291048754938,0.02930559743922586,3.583801311873402e-05,0.0004764701463564503,-0.029331363682655553,0.029331231207950767,3.458710862643423e-05,0.0004640702757387419,-0.02935245075777088,0.029353460283478964,-3.3686268768945544e-05,0.0004296526490760469,-0.02939493659803091,0.029395198140542884,-3.11866238415208e-05,0.0004309061076862589,-0.029405592127937027,0.029406360809269123,3.1277265761352634e-05,0.00042597495181897913,-0.029423193932793558,0.02942319588167209,3.0918806053281966e-05,0.00041415469926715955,-0.029446029737933022,0.029446042019933543,3.0060162666512154e-05,0.00041066269670492884,-0.02946155094361687,0.02946149119627093,2.9806244693220085e-05
