,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U tilde of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U tilde of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U tilde of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U tilde of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U tilde of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U tilde of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U tilde of 0.7,U Bar of 0.71,A of 0.71,B of 0.71,U tilde of 0.71,U Bar of 0.72,A of 0.72,B of 0.72,U tilde of 0.72,U Bar of 0.73,A of 0.73,B of 0.73,U tilde of 0.73,U Bar of 0.74,A of 0.74,B of 0.74,U tilde of 0.74,U Bar of 0.7402,A of 0.7402,B of 0.7402,U tilde of 0.7402,U Bar of 0.7404,A of 0.7404,B of 0.7404,U tilde of 0.7404,U Bar of 0.7406,A of 0.7406,B of 0.7406,U tilde of 0.7406,U Bar of 0.7408,A of 0.7408,B of 0.7408,U tilde of 0.7408,U Bar of 0.741,A of 0.741,B of 0.741,U tilde of 0.741
10,0.1998001998001998,0.049767169683760416,-0.016607217111331684,4.120684043064664e-05,0.048945524578425124,0.05320798487556878,-0.035230078576776146,9.334932694071782e-05,-0.05136133869378985,0.057421908717841065,-0.05651977072695429,0.00016144606442355743,-0.05425773364830347,0.06279253636151763,-0.08154774477082363,0.0002544991355975372,-0.05786050127215596,0.0700649339451426,-0.11229541881720242,0.0003908631207654309,0.06259823462729226,0.08105111480724678,-0.15327722683914152,0.0006174604953707152,-0.06949022299044463,0.10319789106334183,-0.22147580044372156,0.0011403910194916686,0.08260193445236409,0.10735079902719051,-0.23263500220614222,0.0012473360202819343,0.08496339729707804,0.11254584022451362,-0.24600722761921057,0.0013847855835640572,0.08787975662484156,0.1196646487560811,-0.26336958572594527,0.0015795386667829944,0.09181218768407566,0.1326118271011706,-0.29246421583499677,0.0019518466857365185,-0.09879146201101334,0.13306597516238686,-0.29343257431078945,0.0019653153242277853,0.0990325062064487,0.13354125141883721,-0.2944424543995812,0.001979439590053101,-0.09928450336924886,0.1340404645711558,-0.29549934387699545,0.001994307147590936,0.09954890555889113,0.134567092022708,-0.2966100357135203,0.0020100265901133226,-0.09982751005414546,0.13512536525230703,-0.29778280324608697,0.002026730499960885,-0.10012249956657641
11,0.21978021978021978,0.05471898873409804,-0.01660280818639835,4.979028998548053e-05,0.05381536555772107,0.058500150693869823,-0.03521982025000124,0.00011279018524840006,-0.056469315120251405,0.0631304968148508,-0.056501484143360384,0.00019506027115472041,-0.05965084161052737,0.0690312050619811,-0.08151788634692411,0.0003074705629822564,-0.06360768407104642,0.07702019809608167,-0.11224756541220142,0.00047218133545080945,0.06880998555484008,0.08908622515931827,-0.15319729664465673,0.0007458341086332683,-0.07637552897528078,0.11339941388728797,-0.22131426721941236,0.0013771453359442715,0.09076063755800955,0.1179569345872014,-0.23245575787501868,0.001506221080535794,0.09335024856904668,0.1236573710426088,-0.2458047934322291,0.0016720973631184442,0.09654783625719969,0.13146734565954696,-0.26313353739657136,0.0019070970963719035,0.10085852623023765,0.14566736075276815,-0.29216171839721794,0.0023562439708477417,-0.10850634910579438,0.146165353898895,-0.29312762385846797,0.0023724898976187,0.10877041763693127,0.14668650762397342,-0.2941349280509318,0.002389526463180785,-0.10904648059874193,0.1472339006565412,-0.2951891022540846,0.0024074593800628417,0.1093361280360085,0.1478113447032627,-0.29629691899747684,0.00242641959810191,-0.10964132801014001,0.14842347797358438,-0.29746662662208506,0.002446566993464586,-0.10996447059382373
12,0.23976023976023975,0.05966371223601807,-0.01659798212813642,5.918055498323362e-05,0.05867816467731944,0.06378415761554163,-0.03520859187261208,0.0001340568523243573,-0.06156926946647302,0.06882951123206286,-0.05648146945686306,0.00023182805243325972,-0.06503464568516705,0.07525831308083415,-0.0814852086563399,0.00036540482451573905,-0.06934380038667179,0.08396087348921068,-0.11219519899192001,0.0005611038929820241,0.07500805562090195,0.097101409549499,-0.15310984244501472,0.0008861776137990607,-0.08324271551425318,0.12356730356888575,-0.2211375906097272,0.0016358406357859434,0.09889052394136054,0.12852640722568137,-0.23225972341523873,0.001789069548094246,0.10170602147553547,0.13472823714880866,-0.24558341649385196,0.0019859637725461003,0.10518189619540642,0.1432235052609962,-0.262875432939249,0.0022648663644907843,0.10986661348833326,0.15866449389668397,-0.2918310333253122,0.002797792632699741,-0.11817469850600026,0.1592058877407865,-0.29279425999381276,0.002817065738744454,0.11846148698290954,0.15977245179537602,-0.29379875124454924,0.002837276570663143,-0.11876129620116392,0.16036753175064475,-0.2948499603494501,0.002858550501669737,0.11907585215892624,0.16099526981648568,-0.2959546375244064,0.0028810428354903673,-0.11940729118303915,0.1616607062902931,-0.2971210038247906,0.0029049431799484764,-0.11975820763739539
13,0.2597402597402597,0.06460070336818227,-0.016592739687820098,6.937474436054083e-05,0.06353329018600985,0.06905927384025598,-0.03519639532852544,0.00015714235648519903,-0.06666048283696673,0.07451809393276577,-0.0564597303287833,0.0002717364511936246,-0.07040831324867802,0.08147282532960061,-0.08144971832438944,0.00042827967192443796,-0.07506786160851768,0.09088565572540389,-0.11213833162537827,0.0006575927854059253,0.08119122564228101,0.10509489026516607,-0.1530148882251682,0.001038421629327573,-0.09009017397098268,0.13369857390417356,-0.22094583584285224,0.0019163126975040015,0.10698905555397963,0.1390559648811671,-0.23204697487915615,0.0020956941775390437,0.11002798299071685,0.14575483599027217,-0.24534318797415006,0.0023261662331897463,0.11377895058424499,0.15492901198017425,-0.2625953872836674,0.002652580194757712,0.11883310129548494,0.1715980791525718,-0.2914723286870511,0.003276124662199793,-0.12779245724036029,0.17218239077206246,-0.292432652898484,0.0032986709023878923,0.1281016354967971,0.17279385751717208,-0.29343409639333307,0.003322313820537071,-0.12842484437796736,0.17343608870900784,-0.2944820929406409,0.0033472000344690273,0.12876394363275548,0.17411355293293315,-0.29558336858984563,0.0033735111636408878,-0.1291212351247964,0.17483168753129813,-0.29674611484553653,0.0034014689418897614,-0.1294995141814558
14,0.27972027972027974,0.06952932744485822,-0.01658708168090945,8.036972220078918e-05,0.06838011251654576,0.07432477014177676,-0.03518323266246772,0.00018203913621166176,-0.07174223902939116,0.08019539007240017,-0.05643627073261918,0.00031477141551275835,-0.07577101509516451,0.08767371084300521,-0.08141142254046035,0.0004960709798998863,-0.08077888364242829,0.09779324607950979,-0.11207697640701111,0.0007616068047215201,0.08735828278584525,0.11306489835723207,-0.1529124600011388,0.0012024909500346842,-0.09691630568505545,0.1437902572347536,-0.22073907362934353,0.0022183836015515134,0.11505371540596611,0.1495423765286504,-0.23181759470148683,0.0024258921239222273,0.11831342387674677,0.15673358951181462,-0.24508420667918418,0.002692467984603747,0.12233604109460008,0.16657978015548064,-0.26229352495855096,0.0030699502094423846,0.12775467475421268,0.18446301119398126,-0.29108578651164585,0.0037908416307057156,-0.13735561801941526,0.1850897196149539,-0.29204298688839714,0.003816902703013206,0.13768683059757247,0.18574554142309022,-0.29304115022679006,0.003844231042670075,-0.13803306600817056,0.18643434597894995,-0.2940856893150057,0.0038729960650987294,0.1383963153810369,0.18716092379247012,-0.2951833042047797,0.0039034076289732114,-0.13877904318091358,0.18793110381334474,-0.2963421546111947,0.003935721941506611,-0.13918424211854524
15,0.2997002997002997,0.07444895208932638,-0.016581008986766857,9.216210935504747e-05,0.07321800446265526,0.0795799200770446,-0.035169106079228254,0.00020873904421068692,-0.0768138247524156,0.08586054825793683,-0.05641109495250845,0.0003609178064995787,-0.08112192571216183,0.09385994311421382,-0.08137032905502288,0.0005687527603725047,-0.08647588727391098,0.10468235196215564,-0.1120111474507028,0.0008731015689122667,0.0935080210772044,0.12100967435461443,-0.15280258580649003,0.0013783045991022232,-0.10371952276610856,0.15383940596406212,-0.22051738011514466,0.0025418618752690433,0.12308200922048407,0.1599824339001241,-0.23157167164211637,0.0027794451128396805,0.1265596605480695,0.1676609461602526,-0.24480657897872646,0.0030846142902673287,0.13085023907392032,0.17817175649265515,-0.2619699799938989,0.00351666619235176,0.1366280548199629,0.1972542301901599,-0.2906716026281536,0.004341515085596986,-0.14686022276006624,0.19792277691128318,-0.29162546024941177,0.004371328115746457,0.1472130894316775,0.1986223667196189,-0.2926201136238423,0.004402590395460983,-0.1475819522475823,0.19935712516700868,-0.2936609530994316,0.004435495657552301,0.14796893118549365,0.2001321599189246,-0.29475465092209563,0.004470283882220474,-0.14837665017330542,0.20095368570626262,-0.2959093328070918,0.004507248046967722,-0.1488082954785003
16,0.3196803196803197,0.07935894740622171,-0.016574522548351588,0.00010474828518675143,0.07804634135488563,0.08482400019393657,-0.03515401794285497,0.00023723335178764196,-0.08187452984199216,0.09151272080566614,-0.056384207581572164,0.00041015940678721334,-0.08646022355427194,0.1000305004280704,-0.08132644617641178,0.0006462971778771694,-0.09215789852834062,0.11155168737888808,-0.11194085988335915,0.000992029549974565,0.09963924190451807,0.12892746897482452,-0.15268529567775213,0.0015657758840971374,-0.11049824887906497,0.16384309406627673,-0.22028083683097208,0.0028865426491439397,0.13107146706452746,0.17037295319689647,-0.2313093007244905,0.003156119623851285,0.1347640369077996,0.17853338287929543,-0.24451041872840618,0.0035023326595051293,0.13931864766280083,0.18970092250190237,-0.2616248958156993,0.003992396372541687,0.14545000084497556,0.20996672523124366,-0.29022998649150417,0.004927686977497346,-0.1563023660434121,0.21067651478703542,-0.29118028506043625,0.004961484209451473,0.15667648236628337,0.21141924669215947,-0.2921712014328317,0.004996923805105657,-0.15706754805940007,0.212199298589136,-0.2932081020770469,0.005034225299017107,0.1574778092560938,0.21302209021719157,-0.2942976296497514,0.005073660631281361,-0.15791004601230085,0.21389421588030552,-0.29544787368637404,0.005115561792769717,-0.1583676340852638
17,0.33966033966033965,0.08425868615269852,-0.01656762337189263,0.0001181243894387717,0.08286450123516476,0.09005629023764697,-0.03513797077579279,0.0002675127535252925,-0.08692364747596325,0.09715106399727623,-0.056355613520140284,0.00046247892962135754,-0.09178509131449214,0.10618436619219011,-0.08127978276737921,0.0007286745659990768,-0.09782394902784855,0.1183999733864891,-0.11186612983802176,0.0011183401039224958,0.10575075451712371,0.1368165438304127,-0.1525606216388087,0.0017648124569646605,-0.11725092001992798,0.17379841858722397,-0.22002953063810587,0.003252207824340447,0.1390196449542689,0.18071077679290354,-0.231030583169634,0.0035556670871772843,0.14292392615420885,0.18934740709401032,-0.24419584718634002,0.003945333085542411,0.1477384038752521,0.20116329692231966,-0.26125842513320247,0.004496787728783319,0.15421731307544287,0.2225955377349911,-0.28976116099630056,0.005548870119100076,-0.1656781985011662,0.2233459382982157,-0.29070768700410327,0.005586878611853688,0.16607313641010876,0.22413114819216756,-0.29169464227888137,0.0056267334373817784,-0.1664859556712567,0.22495579280163994,-0.2927273679910531,0.0056686813787324136,0.16691902572644424,0.2258255985507855,-0.2938124754508285,0.005713028127625826,-0.16737527923275505,0.22674753273364923,-0.2949580158659915,0.0057601468742416555,-0.16785827713651716
18,0.3596403596403596,0.08914754390835705,-0.016560312526539975,0.0001322863242213996,0.08767186503001072,0.09527607335560193,-0.035120967257965235,0.0002995673722658934,-0.09196047438689892,0.1027747383341388,-0.05632531797386052,0.000517858028537939,-0.0970957161931174,0.11232052926574732,-0.08123034824142042,0.0008158534448875542,-0.10347307634466556,0.12522593854617683,-0.11178697444652877,0.0012519795027473935,0.11184137651856405,0.14467517213092335,-0.1524285976842552,0.001975316377957055,-0.12397598528148664,0.18370250113655676,-0.21976355367062417,0.0036386262514268106,0.14692412643331393,0.1909927749281963,-0.23073562632584665,0.003977824093592378,0.15103673255536632,0.2000995586838725,-0.24386299292430932,0.0044133082996123596,0.1561066806402888,0.21255493813230492,-0.2608707298188421,0.005029466314700556,0.16292683509887718,0.2351357648331129,-0.2892653622785552,0.006204548675527693,-0.17498393012604843,0.2359261088560209,-0.29020790516518136,0.006246990006644705,0.1753992385571282,0.23675309510332088,-0.29119067835878154,0.006291492201886438,-0.17583333795401596,0.23762159211080786,-0.29221899633585535,0.006338330699801886,0.17628871806969187,0.2385376272977845,-0.2932994373306436,0.006387846686190951,-0.17676846044940345,0.23950853399787864,-0.29444001210948345,0.006440456676114658,-0.17727630670112887
19,0.37962037962037964,0.09402489924385901,-0.016552591143994554,0.00014722975611975637,0.09246781672231004,0.10048263630077078,-0.03510301022579993,0.0003333867643926007,-0.09698431107301152,0.1083829087896257,-0.05629332645169144,0.0005762773076225631,-0.10239129016400762,0.11843798428581134,-0.08117815255887478,0.0009078005398247313,-0.10910432435070315,0.13202831937358733,-0.11170341183172655,0.0013928909683093187,0.11790993435376501,0.15250163938004818,-0.15228925976174013,0.0021971841834567286,-0.13067190760832753,0.19355248937045283,-0.21948300327412154,0.00404555392021791,0.15478252412222102,0.2012158473917169,-0.23042454359412554,0.004422312617429972,0.15909989318999557,0.21078641194338688,-0.24351199173354943,0.004905934041021834,0.16442068880253577,0.22387194654466408,-0.26046198078089683,0.005590037604480322,0.17157545623875414,0.2475825627350594,-0.2887428395055309,0.006894178686134371,-0.18421583350160517,0.24841214762915254,-0.28968119181689594,0.006941268662476453,0.18465103904855648,0.24928017178452258,-0.29065956522357767,0.006990644288636147,-0.18510592171764867,0.2501917420590209,-0.2916832461356749,0.007042611023870963,0.18558308843022275,0.25115318088281985,-0.29275877801110534,0.007097547238678131,-0.18608576572658578,0.25217218031914446,-0.29389412909675355,0.007155914835068745,-0.18661787112951822
