,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.71,A of 0.71,B of 0.71,U Bar of 0.72,A of 0.72,B of 0.72,U Bar of 0.73,A of 0.73,B of 0.73,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.74054,A of 0.74054,B of 0.74054,U Bar of 0.74108,A of 0.74108,B of 0.74108,U Bar of 0.74162,A of 0.74162,B of 0.74162,U Bar of 0.74216,A of 0.74216,B of 0.74216,U Bar of 0.7427,A of 0.7427,B of 0.7427
801,10.67288474350433,0.05934098710767274,-0.004705621068133091,0.004688067055265071,0.05102103126300595,-0.009460142812785172,0.009435093749847646,0.04258527894825588,-0.014268861979019878,0.014243692436934113,0.034077635963614836,-0.01914060804564148,0.019120050860592177,0.02554274531244395,-0.02409183151519087,0.024078129544717664,0.01699659062567363,-0.029159935478575812,0.029153122710394015,0.008183385569576818,-0.03448352749335463,0.034481874470083676,0.007218694506827847,-0.035052777537080665,0.035051498453014134,0.0061986253674853175,-0.03564003402626811,0.03563910130369284,0.005068453138874319,-0.036259395259810125,0.03625875047859917,0.0035937714587170313,-0.036970605496436396,0.036970319117023906,0.003479255461715866,-0.03701780810483517,0.037017542620104635,0.0033529972828868805,-0.03706791293751792,0.03706766885402356,0.0032086513988828363,-0.03712247594112415,0.03712225612870636,0.0030414454690185695,-0.03718550423675724,0.03718290356587405,0.002756146632811389,-0.03727471475073704,0.0372719406605044
802,10.686209193870752,0.059014786439014456,-0.0046997474427128965,0.004682413017916956,0.05072657318470923,-0.009448264890552841,0.009423542135180943,0.042326193871559656,-0.014250843742119008,0.014226017003796682,0.0338578387661167,-0.01911630307225447,0.019096040227329934,0.02536657078329765,-0.024061072155885512,0.02404757815272318,0.01686928203902665,-0.029122503682779407,0.029115802169125286,0.008114044592134438,-0.0344390167062981,0.03443739402799244,0.007156365389896529,-0.03500750555150773,0.035006250443147056,0.006143906485991495,-0.03559397590251186,0.035593061129037616,0.005022435541924612,-0.03621250711665682,0.036211874519887444,0.0035596272809808424,-0.03692276293247072,0.03692248277505186,0.0034460627104828216,-0.036969902152468,0.03696964250472381,0.0033208591144179237,-0.03701993969396664,0.03701970103644299,0.0031777263378707232,-0.03707442941025987,0.037074214571351426,0.003011935975405239,-0.03713737627303031,0.037134780075178966,0.002729079685347817,-0.03722646721851389,0.03722369680572387
803,10.699533644237176,0.05869020132394903,-0.004693888247676644,0.0046767707309024005,0.05043366937159971,-0.009436416443304214,0.00941201583327859,0.04206857101637713,-0.014232870629336702,0.014208382107185212,0.03363937451335386,-0.019092059478040282,0.019072086818371088,0.025191553617908438,-0.024030391066597767,0.024017101908949498,0.016742893340588625,-0.029085167794288217,0.029078575733337903,0.008045278283784011,-0.034394620699737484,0.034393027815498876,0.00709456351438879,-0.03496235038475378,0.034961118809151856,0.006089661680353925,-0.035548036704437416,0.03554713954156323,0.00497682885811853,-0.03616574012560065,0.036165119477394515,0.0035258030989299017,-0.03687504408325948,0.03687477002217318,0.0034131823999100385,-0.03692212008516359,0.036921866156065686,0.0032890249607568965,-0.036972090516289885,0.03697185717424846,0.0031470955302145766,-0.037026507142215885,0.03702629717501763,0.0029827092482927644,-0.037089372790979326,0.03708678097403287,0.002702275427913093,-0.03717834448940635,0.03717557767745658
804,10.712858094603599,0.05836722528727315,-0.004688043432196356,0.004671140175143509,0.050142312905350025,-0.009424597365003147,0.009400514789869682,0.04181240317409173,-0.014214942475247929,0.014190787641793936,0.03342223592623779,-0.019067877034236458,0.019048190462624806,0.025017686785197626,-0.023999787951468128,0.023986700563803597,0.01661741823543522,-0.029047927446303395,0.029041443065159805,0.007977082028001185,-0.034350339030498334,0.034348775399385446,0.007033284545949334,-0.03491731158538574,0.03491610310774665,0.006035886947734471,-0.035502215972074924,0.03550133608766198,0.004931629500145403,-0.036119093817649946,0.03611848488668253,0.0034922959676754314,-0.03682744846942461,0.03682718038154294,0.003380611641021016,-0.036874461422853284,0.03687421309645656,0.0032574919957710545,-0.036924364923685754,0.036924136788884065,0.003116756223237801,-0.03697870865539145,0.036978503460184484,0.0029537626223505972,-0.03704149330811574,0.03703890578184179,0.0026757313502899726,-0.03713034607962081,0.03712758279350244
805,10.72618254497002,0.058045851865319485,-0.004682212945659016,0.004665521331415729,0.04985249688604976,-0.009412807550083117,0.00938903895052996,0.04155768316135435,-0.014197059115190648,0.01417323350231306,0.03320641575731145,-0.01904375551317333,0.01902435098930924,0.024844963290837373,-0.023969262516092636,0.02395637386847301,0.016492850467891174,-0.02901078227387388,0.0290044038281072,0.00790945124363985,-0.03430617125767888,0.03430463634852826,0.006972524184372171,-0.03487238870428902,0.03487120289781873,0.005982578317840539,-0.035456513247820266,0.03545565031597284,0.004886833911016777,-0.036072567726228716,0.036071970285641665,0.003459102968749773,-0.036779975614061065,0.036779713378738275,0.0033483475708979706,-0.0368269256879453,0.03682668285065121,0.003226257418970949,-0.03687676243783325,0.03687653940422925,0.0030867056894124433,-0.036931033470671136,0.03693083294977439,0.0029250934568073646,-0.03699373734444127,0.03699115402046313,0.0026494449657470955,-0.037082471507861134,0.03707971167412573
806,10.739506995336443,0.057726074606093615,-0.004676396737665672,0.004659914180350849,0.04956421443229694,-0.009401046893445028,0.009377588260686775,0.04130440382010836,-0.014179220385261928,0.014155719583434324,0.03299190679069719,-0.01901969468826801,0.019000568227955886,0.02467337617712477,-0.02393881446751438,0.02392612157492696,0.01636918382133062,-0.028973731913885078,0.02896745768708043,0.007842381384686101,-0.034262116942635625,0.03426061023388587,0.006912278163350967,-0.03482758129465274,0.03482641774041252,0.005929731852680421,-0.03541092807641998,0.03541008177736853,0.004842438563818934,-0.036026161387161124,0.0360255752144763,0.0034262212098826682,-0.03673262504272094,0.03673236854174353,0.003316387352453302,-0.03677951240530877,0.036779274945817925,0.003195318455286825,-0.036829282582876315,0.03682906454658373,0.0030569412261436837,-0.03688348111140885,0.03688328516913752,0.00289669913523502,-0.03694610442243183,0.03694352521419037,0.002623413810819931,-0.03703472029531258,0.03703196384203974
807,10.752831445702865,0.05740788706941655,-0.004670594758030542,0.004654318702439961,0.0492774586812843,-0.009389315290455034,0.009366162665624008,0.04105255801761354,-0.014161426122314061,0.014138245779856447,0.032778701842048424,-0.018995694334018428,0.018976842008413836,0.02450291852285607,-0.023908443514215054,0.023895943435917447,0.016246412117975603,-0.0289367760050476,0.028930604308359833,0.0077758679400042946,-0.03421817564896897,0.03421669662848806,0.0068525422502263384,-0.034782888911955086,0.03478174719871755,0.005877343646309299,-0.035365460004956245,0.03536463002494267,0.004798439961473497,-0.03597987433865614,0.03597929921569132,0.0033936478247694663,-0.03668539628339767,0.03668514540093547,0.0032847281742095975,-0.03673222110225793,0.036731988911523676,0.0031646723548443604,-0.036781924885408,0.03678171174465261,0.003027460155548452,-0.036836051103411954,0.03683585964603677,0.0028685770653303164,-0.03689859406702164,0.03689601888973801,0.0025976354451062245,-0.03698709196562584,0.03698433882239144
808,10.766155896069288,0.05709128282705671,-0.004664806956780123,0.004648734878036386,0.04899222278887442,-0.009377612636942369,0.009354762110486898,0.04080213864646626,-0.014143676163950722,0.014120811986290501,0.032566793758506164,-0.018971754225997384,0.018953172160853956,0.024333583443201575,-0.023878149366106556,0.023865839204980237,0.01612452921869524,-0.028899914187886094,0.028893843359601545,0.007709906433094789,-0.034174346942509023,0.034172895107424675,0.006793312245740849,-0.034738311113948706,0.034737190838056556,0.005825409824587828,-0.03532010858283196,0.03531929461399706,0.004754834636491079,-0.03593370612129228,0.035933141834078454,0.0033613799728503353,-0.03663828886651036,0.036638043489068566,0.0032533672500707845,-0.036685051308536415,0.03668482427971934,0.0031343163927462555,-0.03673468887445474,0.036734480529531516,0.0029982598242345214,-0.036788742974925515,0.036788555910632875,0.0028407246787005387,-0.036851205805587414,0.036848634576226474,0.002572107451052751,-0.03693958604490123,0.03693683614274633
809,10.77948034643571,0.05677625546287067,-0.004659033284152294,0.004643162687358558,0.04870849992968766,-0.009365938829197177,0.009343386540286821,0.04055313862461677,-0.01412597034852312,0.014103418097465176,0.03235617541863432,-0.01894787414084665,0.018929558515772937,0.024165364089577757,-0.02384793173452265,0.023835808636435765,0.0160035290228057,-0.02886314610472817,0.02885717450983329,0.00764449242184462,-0.03413063039130144,0.03412920524783459,0.006734583983789405,-0.03469384746064629,0.03469274822587357,0.005773926544936461,-0.03527487336175598,0.035274075102029,0.0047116191507385,-0.03588765627800246,0.03588710261670275,0.003329414839086904,-0.03659130232488828,0.03659106234126047,0.003222301819105759,-0.036638002556301744,0.03663778058472506,0.003104247868853083,-0.03668757408146075,0.03668737043469187,0.002969337603088876,-0.03674155625661669,0.036741373495469555,0.002813139430646504,-0.03680393916793275,0.036801371805167266,0.0025468274337471924,-0.03689220206167293,0.036889455333073355
810,10.792804796802132,0.05646279857292687,-0.004653273690595432,0.004637602110492887,0.04842628329717889,-0.009354293763968357,0.00933203589990599,0.04030555089539157,-0.014108308515126185,0.014086064008131978,0.03214683973237726,-0.01892405385627109,0.01890600090399728,0.023998253649518936,-0.023817790332210684,0.023805851485389988,0.01588340546787556,-0.028826471399693358,0.028820597429450135,0.00757962149828494,-0.034087025565593426,0.034085626628894625,0.006676353331180155,-0.03464949751430625,0.034648418931722144,0.005722889996095089,-0.035229753895728445,0.03522897104871862,0.004668790095201053,-0.035841724354059,0.03584118111288908,0.003297749633737454,-0.036544436193755414,0.03654420149497751,0.003191529145326056,-0.03659107438010981,0.03659085736321569,0.003074464107564105,-0.03664058004027256,0.03664038099596627,0.0029406908870569675,-0.0366944904815592,0.036694311935458815,0.002785818799954501,-0.036756793686272535,0.036754230110448115,0.0025217930207162022,-0.03684493954689342,0.03684219592572994
811,10.806129247168554,0.056150905765638116,-0.0046475281267675216,0.0046320531273965695,0.04814556610371721,-0.009342677338461416,0.009320710134102099,0.04005936842750313,-0.014090690503594763,0.014068749613070319,0.03193877964100352,-0.01890029315103282,0.01888249915668716,0.02383224534655088,-0.02378772487332334,0.023775967507735144,0.015764152529523012,-0.02878988971868219,0.02878411179021022,0.0075152892883448485,-0.03404353203781983,0.034042158831808576,0.006618616187385975,-0.03460526083941844,0.03460420252725358,0.005672296397880601,-0.03518474974102622,0.035183982015916396,0.004626344089749803,-0.035795909897058706,0.035795376874208786,0.0032663815921440626,-0.03649769001071514,0.03649746049002029,0.003161046517469998,-0.036544266316899596,0.036544054154206355,0.003044962457601935,-0.03659370628712366,0.036593511751533955,0.002912317094933944,-0.03664754518521795,0.036647370767866345,0.0027587602886851156,-0.03670976889521754,0.03670720902831828,0.002497001861717284,-0.03679779803391799,0.03679505745544714
812,10.819453697534977,0.055840570661891686,-0.004641796543535272,0.004626515717900378,0.04786634158066148,-0.009331089450336323,0.009309409187512883,0.039814584215067575,-0.014073116154499835,0.014051474807092533,0.03173198811705356,-0.018876591804945414,0.018859053105340234,0.023667332440064207,-0.023757735073410467,0.023746156460150433,0.015645764221217537,-0.02875340070936533,0.028747717265230458,0.007451491451612422,-0.03400014938258933,0.03399880143979627,0.006561368484307385,-0.03456113700269007,0.03456009858620525,0.00562214200094597,-0.03513986045618843,0.03513910756763067,0.0045842777829043415,-0.035750212456908056,0.03574968945446637,0.0032353079745091468,-0.0364510633157351,0.03645083886850945,0.0031308512487867313,-0.03649757790597792,0.036497370499038076,0.0030157402918015346,-0.03654695236061924,0.036546762241906394,0.00288421366915031,-0.03660071990543375,0.036600549532296994,0.002731961421964786,-0.036662864331759124,0.03666030809737397,0.002472451628540815,-0.036750777058489406,0.03674803945931488
813,10.832778147901399,0.05553178689517175,-0.0046360788919732315,0.004620989861711409,0.0475886029784285,-0.009319529997705378,0.00929813300466064,0.039571191277613896,-0.014055585309144749,0.014034239485048802,0.0315264581642773,-0.01885294959886812,0.01883566258179532,0.023503508225183788,-0.02372782064941094,0.023716418100102648,0.015528234594090027,-0.028717004021172787,0.028711413528982207,0.007388223681094595,-0.03395687717667071,0.03395555403808269,0.006504606186027783,-0.034517125573031666,0.03451610668438896,0.00557242308654373,-0.035095085602002134,0.03509434727001523,0.004542587851602927,-0.03570463158580854,0.035704118409686285,0.0032045260656862894,-0.03640455565113205,0.036404336174871446,0.003100940676823078,-0.03645100868900437,0.03645080594136354,0.002986795006896377,-0.03650031780172107,0.03650013200991294,0.0028563780755671312,-0.03655401418240818,0.036553847770680374,0.0027054197477802315,-0.03661607953525402,0.036613526858543806,0.002448140014805767,-0.036703876158722636,0.036701141476767334
814,10.846102598267821,0.055224548111685014,-0.004630375123362908,0.004615475538415794,0.04731234356657365,-0.009307998879131089,0.009286881529956664,0.03932918266010004,-0.014038097809561475,0.014017043541832,0.031322182817581076,-0.018829366314700113,0.018812327418236026,0.02334076603263979,-0.023697981319644578,0.02368675218584672,0.015411557736726743,-0.028680699305283205,0.02867520025728693,0.007325481702976002,-0.03391371499897928,0.03391241621388714,0.006448325288582046,-0.03447322612154317,0.034472226399679416,0.00552313596629475,-0.03505042474148808,0.03504970069135702,0.0045012710009727005,-0.0356591668382421,0.0356586632980998,0.0031740331749578734,-0.036358166561556965,0.03635795195582448,0.0030713121632108247,-0.03640455820997629,0.03640436002713294,0.0029581240233095643,-0.036453802153732486,0.03645362060068662,0.00282880780326656,-0.036507427558688514,0.03650726502725655,0.002679132836771312,-0.03656941404740928,0.03656686485507444,0.0024240647357617676,-0.036657094875089745,0.03665436304956834
815,10.859427048634243,0.054918847970482444,-0.004624685189191892,0.004609972727481388,0.04703755663385246,-0.009296495993624046,0.009275654707705631,0.03908855143291846,-0.014020653498506872,0.013999886872382444,0.031119155142973615,-0.0188058417353748,0.018789047447194254,0.02317909922864109,-0.023668216803804133,0.023657158476426184,0.015295727774978174,-0.028644486214613234,0.028639077127311813,0.007263261276385217,-0.03387066243056336,0.033869387556412466,0.0063925218197155576,-0.03442943822150012,0.03442845731200268,0.005474276981948127,-0.0350058774398866,0.035005167402063886,0.004460323964102306,-0.03561381777095664,0.03561332368013196,0.0031438266358306314,-0.036311895593980174,0.0363116857603645,0.0030419630934561404,-0.03635822601521395,0.0363580323045799,0.0029297247849427084,-0.036407404962283514,0.03640722756164999,0.0028015003643428443,-0.03646095957915281,0.03646080084856182,0.0026530982820337458,-0.03652286741226732,0.03652032163251627,0.0024002235280931065,-0.036610432750404896,0.03660770372179699
816,10.872751499000666,0.05461468014357751,-0.0046190090411529754,0.004604481408260414,0.046764235488290645,-0.00928502124064082,0.009264452482109914,0.03884929069190736,-0.014003252219458978,0.013982769371692582,0.03091736823750351,-0.018782375644854125,0.018765822501553647,0.02301850121474541,-0.02363852682294729,0.02362763673167361,0.015180738871761738,-0.028608364403806947,0.028603043817565375,0.0072015581931610135,-0.033827719054590887,0.03382646765683432,0.006337191838647082,-0.03438576144833994,0.034384799003324765,0.00542584250515459,-0.03496144326464354,0.03496074697465235,0.004419743501817313,-0.03556858394295168,0.0355680991183886,0.0031139038058215786,-0.03626574229767663,0.0362655371397513,0.0030128908767325558,-0.03631201165334575,0.03631182232420755,0.002901594758971932,-0.03636112577531606,0.03636095244250112,0.0027744532937007027,-0.03641460979099511,0.036414454783414624,0.0026273136989126413,-0.036476439176191054,0.036473896738709224,0.0023766141497223764,-0.036563889329809446,0.03656116303983328
817,10.886075949367088,0.054312038316060914,-0.00461334663114328,0.004599001559992079,0.046492373457254835,-0.009273574520081857,0.009253274797273836,0.03861139355835406,-0.013985893816613313,0.013965690934811582,0.03071681522920116,-0.018758967828122947,0.01874265241455294,0.022858965427726075,-0.023608911099488754,0.02359818671221093,0.01506658522686361,-0.028572333529225374,0.028567100007893045,0.0071403682776097635,-0.0337848844563361,0.03378365610829051,0.006282331435840718,-0.03434219537964836,0.03434125105764022,0.0053778289372288565,-0.03491712178539641,0.03491643898373558,0.004379526402449692,-0.03552346491546415,0.035522989177643495,0.0030842620662495423,-0.03621970622421128,0.03621950564749475,0.002984092945670045,-0.03626591467529361,0.03626572963877463,0.0028737314356421144,-0.03631496414306926,0.036314794795199654,0.0027476641488536962,-0.036368377743710725,0.036368226382901526,0.0026017767248065825,-0.036430128887849175,0.03642758972376868,0.002353234379622434,-0.03651746416075715,0.036514740552343904
818,10.899400399733512,0.05401091618621796,-0.004607697911263385,0.004593533161805155,0.046221963887509335,-0.009262155732289385,0.00924212159720787,0.038374853179001814,-0.013968578134879206,0.013948651456849846,0.03051748927701828,-0.018735618071183395,0.018719537019789217,0.022700485339447688,-0.02357936935719237,0.023568808179449712,0.014953261076750851,-0.02853639324893607,0.028531245379472728,0.007079687386280448,-0.03374215822316636,0.033740952505870336,0.006227936732769511,-0.03429873959514588,0.03429781306096085,0.0053302327089273715,-0.034872912573960524,0.03487224300601127,0.004339669481620842,-0.03547846025195419,0.03547799342482552,0.003054898822029007,-0.03617378692742457,0.036173590839341054,0.0029555667561538992,-0.0362199346342584,0.03621975380328171,0.0028461323280650403,-0.036268919618064915,0.03626875417395296,0.002721130509720988,-0.03632226298908165,0.0363221152003633,0.002576485018968712,-0.036383936098201536,0.03638140014007144,0.002330082017613923,-0.036471156792999525,0.03646843581026806
