,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U Bar of 0.5,A of 0.5,B of 0.5,U Bar of 0.7,A of 0.7,B of 0.7,U Bar of 0.74,A of 0.74,B of 0.74,U Bar of 0.742,A of 0.742,B of 0.742
397,15.848303393213573,0.00577826021555125,-0.003164449962455243,0.003165102595510449,0.0045105091911041666,-0.006351723635279691,0.0063525062813361306,0.0015120126901101846,-0.016096061609660647,0.016096757318342456,0.00027209887892308397,-0.02295904582290643,0.022960015797906647,7.983717883827478e-05,-0.02460047264262967,0.024601444901047716,6.199031656124156e-05,-0.02473784370317259,0.024738833772066388
398,15.888223552894212,0.005666286607521319,-0.003156472268659391,0.0031571290397557697,0.00442028553849487,-0.006335660969606093,0.006336448678267224,0.0014777636306217256,-0.016054961107229482,0.016055658254090797,0.00026486474865714503,-0.022900015791468314,0.022900985832126783,7.749652058333412e-05,-0.024537118054380563,0.024538090318780976,6.0138208947142147e-05,-0.024674126503582992,0.024675116576093222
399,15.928143712574851,0.005556252869350012,-0.0031485346797068786,0.003149195420004163,0.004331698976559395,-0.006319679318852791,0.0063204718775186535,0.0014442487450032177,-0.016014069972220813,0.016014768489504127,0.000257818267170369,-0.022841288565718126,0.022842258668437053,7.522350424582178e-05,-0.02447408899927343,0.024475061269296508,5.834072656699931e-05,-0.024610736746185406,0.024611726822090674
400,15.968063872255488,0.005448124086215519,-0.003140636894267663,0.0031413014415258823,0.004244718806225002,-0.006303778072042047,0.006304575276721293,0.001411452018397589,-0.01597338660889424,0.01597408643197602,0.0002509545356518501,-0.02278286182127174,0.022783831982649168,7.30161693264541e-05,-0.024411382974224544,0.024412355249532138,5.6596254369469144e-05,-0.024547671912859552,0.024548661991951982
401,16.00798403193613,0.005341865874756027,-0.0031327786140111415,0.0031334468123365264,0.004159314828386328,-0.00628795662430927,0.006288758279275057,0.0013793577608053633,-0.015932909437680907,0.015933610504927562,0.00024426877934765825,-0.022724733257477894,0.022725703474297074,7.087261117075818e-05,-0.024348997501751814,0.024349969782026047,5.490322431281847e-05,-0.0244849295112443,0.02448591959332871
402,16.047904191616766,0.005237444374969609,-0.003124959543569333,0.003125631243169881,0.0040754573357052685,-0.006272214376827301,0.0062730202942867875,0.0013479506004602192,-0.015892636894979374,0.015893339147609795,0.00023775634440097415,-0.022666900597116034,0.022667870866335357,6.879097936647218e-05,-0.024286930129648245,0.024287902414590293,5.3260113997007304e-05,-0.02442250707440907,0.0244234971593022
403,16.087824351297407,0.005134826242218416,-0.0031171793905005888,0.0031178544474509255,0.003993117104554653,-0.006256550736731805,0.006257360736508718,0.001317215477327265,-0.01585256743295454,0.015853270814908938,0.00023141269478970847,-0.022609361586098744,0.02261033190484223,6.67694762024022e-05,-0.02422517843066038,0.024226150719989334,5.166544533526688e-05,-0.02436040216053024,0.02436139224806002
404,16.127744510978044,0.005033978639258092,-0.0031094378652538244,0.0031101161412690082,0.003912265387022547,-0.006240965117047744,0.006241779026277511,0.0012871376367003806,-0.015812699519339623,0.01581340397715434,0.000225233409333482,-0.022552113993178705,0.022553084358727,6.480635516028058e-05,-0.02416374000217163,0.024164712295623426,5.0117783262872884e-05,-0.02429861235257251,0.024299602442577367
405,16.167664670658684,0.004934869228386411,-0.0031017346811332567,0.0031024160433512035,0.003832873903008108,-0.006225456936616917,0.006226274589453877,0.0012577026229340748,-0.01577303163724107,0.01577373711992915,0.00021921417876303906,-0.0224951556096601,0.02249612601944197,6.289991946595323e-05,-0.024102612465890433,0.024103584763216834,4.8615734477234526e-05,-0.02423713525797505,0.02423812535030329
406,16.20758483033932,0.004837466163652474,-0.0030940695542636476,0.003094753875035843,0.0037549148324418115,-0.006210025620026551,0.006210846857362763,0.0012288962732886393,-0.01573356228494641,0.015734268743883607,0.0002133508028634438,-0.022438484249114383,0.022439454700698663,6.104852065876556e-05,-0.02404179346754312,0.02404276576851078,4.715794622181864e-05,-0.024175968508342482,0.024176958602851663
407,16.24750499001996,0.0047417380831331,-0.00308644220355604,0.0030871293602462344,0.0036783608075627605,-0.0061946705975389265,0.006195495266734131,0.0012007047118671528,-0.015694289975734976,0.015694997364550992,0.00020763918769855374,-0.022382097747100337,0.022383068238188312,5.9250557204324764e-05,-0.023981280676571442,0.023982252980961,4.574310509858536e-05,-0.024115109759140465,0.024116099855696856
408,16.2874251497006,0.004647654101287641,-0.003078852350673981,0.003079542225464567,0.003603184905305616,-0.006179391305022013,0.006180219259644308,0.0011731143436842487,-0.015655213237691423,0.015655921512166132,0.00020207534289507132,-0.022325993960888333,0.022326964489306548,5.7504473155035365e-05,-0.023921071785834632,0.02392204409343988,4.436993592311457e-05,-0.024054556689395917,0.02405554678787395
409,16.327345309381236,0.004555183801395429,-0.0030712997200002244,0.0030719921997060065,0.003529360639771143,-0.006164187183881111,0.006165018283457919,0.001146111848828369,-0.015616330613522047,0.015617039731486452,0.00019665537898465427,-0.022270170769188753,0.022271141332882195,5.5808756849402986e-05,-0.023861164511315976,0.023862136821943082,4.303720060186645e-05,-0.023994307001401722,0.023995297101683504
410,16.367265469061877,0.0044642972280599545,-0.003063784038603902,0.003064479014492987,0.0034568619547744378,-0.006149057680991468,0.006149891790770406,0.0011196841767360526,-0.015577640660373794,0.015578350581615549,0.0001913755048197708,-0.022214626071884454,0.02221559666891012,5.416193963323019e-05,-0.023801556591833768,0.023802528905300522,4.1743697049675186e-05,-0.02393435842042588,0.023935348522400715
411,16.407185628742514,0.004374964879780461,-0.0030563050362081646,0.0030570024038296967,0.0033856632165148105,-0.006134002248631874,0.006134839239351115,0.0010938185405593589,-0.015539141949655968,0.015539852635829207,0.00018623202506117104,-0.022159357789767246,0.022160328418288043,5.2562594635363995e-05,-0.0237422457887566,0.02374321810489172,4.048825813069739e-05,-0.023874708694425,0.023875698797988953
412,16.447105788423155,0.004287157701614942,-0.0030488624451582725,0.003049562104176766,0.003315739206288062,-0.006119020344419194,0.006119860092086976,0.0010685024116538662,-0.015500833066864554,0.015501544481403872,0.00018122133770690995,-0.022104363864278286,0.022105334522557276,5.100933556310727e-05,-0.023683229885722898,0.02368420220436537,3.926975063348208e-05,-0.023815355593762074,0.02381634569881756
413,16.487025948103792,0.004200847077892368,-0.0030414560003901425,0.003042157854426155,0.0032470651133193087,-0.006104111431243848,0.006104953816926747,0.0010437235141469194,-0.015462712611409137,0.015463424719447507,0.00017633993169475625,-0.022049642257252332,0.02205061294364729,4.950081553242638e-05,-0.023624506688364622,0.0236254790093631,3.8087074279159805e-05,-0.023756296910928457,0.023757287017383853
414,16.526946107784433,0.004116004825003288,-0.0030340854393993318,0.003034789395876246,0.003179616527667092,-0.006089274977206207,0.006090119886825852,0.001019469819615379,-0.015424779196442352,0.015425491964732805,0.00017158438455883865,-0.021995190950665794,0.021996161663624048,4.803572593732961e-05,-0.023566074024035103,0.023567046347247312,3.6939160754779734e-05,-0.02369753046026998,0.023698520568039262
415,16.56686626746507,0.0040326031842847065,-0.003026750502210461,0.0030274564722071406,0.0031133694332112606,-0.0060745104555538975,0.006075357779691774,0.0009957295418514022,-0.015387031448691836,0.015387744845532748,0.0001669513601437519,-0.02194100794638851,0.02194197868444208,4.661279534593406e-05,-0.02350792974154087,0.023508902066833075,3.582497277097255e-05,-0.02363905407771711,0.023640044186719514
