,ZETA,U Bar of 0.1,A of 0.1,B of 0.1,U tilde of 0.1,U Bar of 0.2,A of 0.2,B of 0.2,U tilde of 0.2,U Bar of 0.3,A of 0.3,B of 0.3,U tilde of 0.3,U Bar of 0.4,A of 0.4,B of 0.4,U tilde of 0.4,U Bar of 0.5,A of 0.5,B of 0.5,U tilde of 0.5,U Bar of 0.6,A of 0.6,B of 0.6,U tilde of 0.6,U Bar of 0.7,A of 0.7,B of 0.7,U tilde of 0.7
334,26.693306693306692,2.653186460171366e-05,-0.0018768228063138132,0.0018768232682934577,-2.6432460042516618e-05,1.7261858646430168e-05,-0.0037619401035294537,0.0037619412765310637,-1.7132469820916974e-05,1.0474352543451861e-05,-0.005657285368697707,0.0056572878141758634,-1.0356507646450193e-05,5.75701240486509e-06,-0.007566107557583111,0.007566111955956242,5.670551847306646e-06,2.7142236506960817e-06,-0.009494530535435374,0.009494536557422668,2.6631693484944563e-06,9.678123838743758e-07,-0.01145668377002432,0.011456691010454165,9.458886701910488e-07,1.6025189375059592e-07,-0.013506194962975043,0.013506207545182548,1.559810483681934e-07
335,26.773226773226774,2.54576995536661e-05,-0.0018712098523574125,0.0018712103144383277,-2.536260418909687e-05,1.6542480977912468e-05,-0.0037506682037946396,0.003750669376882072,-1.6418854493827968e-05,1.0023555331922229e-05,-0.005640302332872458,0.00564030477839806,-9.911118902522201e-06,5.499956023412051e-06,-0.007543350918455861,0.00754335531684812,5.417602583802802e-06,2.5876035099619062e-06,-0.009465918650548301,0.009465924672540912,2.5390762125637793e-06,9.200447950433189e-07,-0.011422091072825893,0.01142209831325655,8.99265367506083e-07,1.5159686799645525e-07,-0.013465330131430264,0.013465342713637795,1.4756874645216566e-07
336,26.853146853146853,2.4426640423404845e-05,-0.0018656303712887184,0.0018656308334625902,-2.4335668063728452e-05,1.5852847990190105e-05,-0.0037394636505400604,0.003739464823706074,-1.5734727919320004e-05,9.592026259970936e-06,-0.005623420958228383,0.005623423403797304,-9.4847506131943e-06,5.25430977550744e-06,-0.007520730761958089,0.007520735160367753,5.175868665868297e-06,2.4668613744331103e-06,-0.009437478697083052,0.009437484719080482,2.4207361335131182e-06,8.746258271748152e-07,-0.01138770665633742,0.011387713896768807,8.549309882683641e-07,1.4340810044993837e-07,-0.01342471185273875,0.013424724434946304,1.3960890575714612e-07
337,26.933066933066932,2.3436975270825948e-05,-0.0018600840645738856,0.0018600845268330808,-2.334994774065789e-05,1.5191741063771677e-05,-0.003728325841995793,0.003728327015233756,-1.5078882809223566e-05,9.178948329753183e-06,-0.005606640334657643,0.005606642780266113,-9.076597095589547e-06,5.019570630535087e-06,-0.007498245863908815,0.0074982502623343154,4.944856284319222e-06,2.351725897301655e-06,-0.009409209129909044,0.00940921515191084,2.307883935407164e-06,8.314405019700514e-07,-0.011353528645054472,0.011353535885486519,8.127736670116399e-07,1.356605465561031e-07,-0.013384337902160072,0.013384350484367646,1.3207726606640295e-07
338,27.01298701298701,2.2487059305146416e-05,-0.0018545706372185848,0.001854571099556095,-2.2403806100003255e-05,1.4557990964476437e-05,-0.003717254183540088,0.0037172553568439277,-1.4450160760787143e-05,8.783538858339904e-06,-0.005589959562883673,0.005589962008528251,-8.685886466340197e-06,4.795257562780231e-06,-0.007475895014724075,0.007475899413163986,4.7240931991783485e-06,2.241938177644036e-06,-0.009381108422355514,0.009381114444361268,2.200266583831558e-06,7.903794448720686e-07,-0.011319555185923988,0.011319562426356629,7.726869797347504e-07,1.2833050229016409e-07,-0.013344206081641356,0.013344218663848948,1.24950863107808e-07
339,27.092907092907094,2.1575312291417473e-05,-0.0018490897977156994,0.0018490902601250908,-2.149567024890647e-05,1.3950475867437484e-05,-0.0037062480875935462,0.0037062492609577,-1.3847450302646364e-05,8.405048055861113e-06,-0.005573377754300536,0.005573380199978079,-8.311879243094041e-06,4.580910591008771e-06,-0.0074536770192000015,0.0074536814176530235,4.5131277998917095e-06,2.1372511966929948e-06,-0.009353175065936664,0.009353181087946002,2.097642637101024e-06,7.513386086879795e-07,-0.01128578444800931,0.011285791688442485,7.345696760857155e-07,1.2139553059132233e-07,-0.013304314219418285,0.013304326801625892,1.1820795757695215e-07
340,27.172827172827173,2.0700216053914212e-05,-0.0018436412579939496,0.0018436417204693149,-2.062402903894722e-05,1.3368119457889493e-05,-0.0036953069735151675,0.0036953081469345422,-1.3269685016624673e-05,8.042757659143499e-06,-0.005556894030815115,0.005556896476522754,-7.953867000489305e-06,4.376089871260819e-06,-0.0074315906962997514,0.007431595094764703,4.3115282176102e-06,2.0374292702082535e-06,-0.00932540757008168,0.009325413592094267,1.999781713005465e-06,7.142190172092353e-07,-0.011252214622161196,0.011252221862594851,6.983254309477582e-07,1.148343984305999e-07,-0.013264660169623235,0.013264672751830856,1.1182797447016954e-07
341,27.252747252747252,1.98603120764611e-05,-0.0018382247333674194,0.0018382251959033358,-1.978743067989014e-05,1.2809889112297142e-05,-0.003684430267500239,0.00368443144097017,-1.2715841738915141e-05,7.69597961715111e-06,-0.005540507524692105,0.005540509970427219,-7.611171076968783e-06,4.180374822724304e-06,-0.007409634878944219,0.0074096392774200244,4.118881469721731e-06,1.9422475362362975e-06,-0.009297804461869575,0.009297810483885106,1.9064639900401664e-06,6.789265246794896e-07,-0.01121884392069469,0.011218851161128779,6.638626113811413e-07,1.0862700470229479e-07,-0.013225241811900402,0.013225254394108037,1.0579143344086202e-07
342,27.332667332667334,1.9054199188467374e-05,-0.0018328399424859733,0.0018328404050774625,-1.898448043859288e-05,1.227479414532301e-05,-0.0036736174024800186,0.0036736185759962347,-1.2184938826267941e-05,7.364054838382139e-06,-0.0055242173784017376,0.005524219824161934,-7.283141342494323e-06,3.993363287477609e-06,-0.007387808413806442,0.007387812812292124,3.9347926374283084e-06,1.85149145759263e-06,-0.009270364285768705,0.009270370307786902,1.8174797228516983e-06,6.453715716666364e-07,-0.011185670577071734,0.011185677817506214,6.310940399176077e-07,1.0275433426996728e-07,-0.013186057051027772,0.013186069633235419,1.0007990458637808e-07
343,27.412587412587413,1.8280531346384153e-05,-0.0018274866072865398,0.0018274870699290316,-1.8213838432762532e-05,1.1761884127311554e-05,-0.0036628678180231815,0.0036628689915817712,-1.1676034491843018e-05,7.046351981516298e-06,-0.005508022744470181,0.005508025190253276,-6.969155008682684e-06,3.8146707336347044e-06,-0.0073661101611096425,0.007366114559604309,3.758884085778917e-06,1.764956360655466e-06,-0.009243085603380894,0.009243091625401507,1.7326287931033936e-06,6.134689698812924e-07,-0.01115269284558938,0.011152700086024212,5.999367860329106e-07,9.719838527278589e-08,-0.013147103816545791,0.013147116398753449,9.467593815873202e-08
