,U Bar of 0.1,U Bar of 0.22,U Bar of 0.33999999999999997,U Bar of 0.45999999999999996,U Bar of 0.58,U Bar of 0.7,A of 0.1,A of 0.22,A of 0.33999999999999997,A of 0.45999999999999996,A of 0.58,A of 0.7,B of 0.1,B of 0.22,B of 0.33999999999999997,B of 0.45999999999999996,B of 0.58,B of 0.7
2.8942115768463075,0.4710088117575511,0.4908454627797136,0.5125517534942837,0.5358947497458061,0.5590751628056546,0.5685244164170806,-0.013181047100182341,-0.030392594642920732,-0.049496076465426544,-0.07110416811438522,-0.09635191770805819,-0.12853425785876582,0.005269816965359856,0.012971003546034763,0.022782868794194947,0.03584110613688536,0.054585902028052864,0.08738363829195259
2.9940119760479043,0.4736807735178346,0.49233357950229495,0.5123539542443307,0.5331708888973158,0.5522197058770506,0.5532430381267437,-0.012995587497359814,-0.029925453619769064,-0.04865479342421217,-0.06974406879336574,-0.09421746725124065,-0.12500570003648703,0.005464611722459578,0.013417449467260345,0.023492753225653952,0.03679929794730284,0.05568260682350144,0.08800016393829223
3.093812375249501,0.47549177263686576,0.49288991817864536,0.5111510394774438,0.5293788185806435,0.5442914878424812,0.5372257470588808,-0.012809904068157081,-0.029459123877561826,-0.047818153906026596,-0.06839846323253967,-0.09212213994771559,-0.1215937377280898,0.005650295111409657,0.013838861163098817,0.02415345756920961,0.03767094983019485,0.056633314292094936,0.08837891514112652
3.193612774451098,0.4764741780452062,0.49255671909400267,0.5089995379605501,0.5245966958636107,0.5354031031558688,0.520638463602465,-0.012624316987664265,-0.02899442135093019,-0.04698761634779863,-0.06706958581936215,-0.09006880405195658,-0.11829903899894467,0.005826480391234993,0.014234501096369104,0.024764259004850513,0.0384563698131916,0.05744233663609983,0.08853953353218814
3.2934131736526946,0.47666205923477367,0.4913778669037091,0.5059572944097716,0.5189029589345333,0.5256643305823725,0.5036330787322966,-0.012439127325761492,-0.028532104125622435,-0.04616451174965097,-0.06575941419122402,-0.08805982046038807,-0.11512132530263786,0.005992864052751943,0.014603855879697137,0.025324862236636006,0.03915657323129779,0.05811497842100069,0.0885018764211878
3.3932135728542914,0.4760908826793707,0.48939849794964424,0.5020829497998015,0.5123756335880022,0.5151812743538877,0.48634730033127155,-0.012254616823219261,-0.028072872437851313,-0.04535004557741885,-0.06446967839699362,-0.08609707776440283,-0.11205951596340177,0.0061492220516511315,0.014946622927674385,0.02583536512285534,0.03977320147771404,0.05865734734979824,0.0882856216156826
3.493013972055888,0.47479721956606796,0.4866646269002095,0.49743545722259314,0.5050917106258674,0.504055658672272,0.4689048050748785,-0.012071047826030443,-0.02761736914192248,-0.04454530064319711,-0.06320187175635117,-0.08418202908695921,-0.1091118621289323,0.006295405514825952,0.015262695830464799,0.026296222450207,0.040308440055284486,0.05907617487272272,0.08790994684468281
3.592814371257485,0.4728184668471603,0.4832227953177978,0.4920736364219189,0.4971265965620663,0.49238426954181286,0.4514156346460184,-0.011888663364663241,-0.027166180597370058,-0.04375124082888479,-0.06195726306338423,-0.08231572979656593,-0.1062760689746772,0.006431336027834187,0.015552148794343443,0.026708208663109998,0.0407649376274721,0.059378649511634005,0.08739327913844666
3.6926147704590817,0.47019258326531643,0.4791197441872714,0.48605576913874315,0.4885536381969369,0.4802585348962898,0.4339767791914951,-0.011707687364421288,-0.026719837925939457,-0.04296871551903519,-0.06073690979949654,-0.0804988753094177,-0.10354940557110483,0.006557000606833033,0.015815220473837356,0.02707238028586544,0.041145727518853835,0.05957226493430059,0.0867531077256773
3.7924151696606785,0.4669578416579224,0.474402111890131,0.4794392364745545,0.4794437200245519,0.467764231768809,0.4166728967238893,-0.011528324972860875,-0.026278818588839806,-0.04219846461322644,-0.05954167204492787,-0.07873183831193575,-0.1009288023333947,0.006672446452283963,0.016052297494630077,0.02739003869243611,0.04145415285764362,0.05966468404004007,0.08600585297416569
