# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 1500
# Delta: 0.016655562958027982
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.74
# Zeta_s_array: [0.01  0.05  0.1   0.15  0.2   0.25  0.3   0.35  0.4   0.45  0.5   0.55
#  0.6   0.65  0.7   0.705 0.71  0.715 0.72  0.725 0.73  0.735 0.74 ]
# Epsilon array: [-0.27817853 -0.28177202 -0.28571246 -0.29007634 -0.29498559 -0.30062958
#  -0.30732953 -0.31570503 -0.32723385  0.          0.          0.
#   0.          0.          0.          0.          0.          0.
#   0.          0.          0.          0.          0.        ]
# 
# u_bar,  A,  B
#     
5.482879707322183549e-01 -1.455935768003682740e-01 1.110900847356816185e-01
5.446694651081511740e-01 -1.448147424832522678e-01 1.110459840028973771e-01
5.410423146283259710e-01 -1.440417449656083704e-01 1.109937915473278303e-01
5.374074874721039841e-01 -1.432745637234510705e-01 1.109336842857956557e-01
5.337659299920262113e-01 -1.425131771620051502e-01 1.108658379370410785e-01
5.301185668696385411e-01 -1.417575626606171479e-01 1.107904269379410417e-01
5.264663012830600453e-01 -1.410076966167108647e-01 1.107076243642723667e-01
5.228100150855683470e-01 -1.402635544887831098e-01 1.106176018559222596e-01
5.191505689945554725e-01 -1.395251108384381322e-01 1.105205295464463805e-01
5.154888027902236880e-01 -1.387923393714599885e-01 1.104165759968724625e-01
5.118255355233493065e-01 -1.380652129779234571e-01 1.103059081336452696e-01
5.081615657315093904e-01 -1.373437037713456099e-01 1.101886911906069660e-01
5.044976716632142422e-01 -1.366277831268812859e-01 1.100650886549052188e-01
5.008346115092950912e-01 -1.359174217185664668e-01 1.099352622167207028e-01
4.971731236410166233e-01 -1.352125895556150759e-01 1.097993717227044586e-01
4.935139268544077584e-01 -1.345132560177753900e-01 1.096575751330149534e-01
4.898577206201794043e-01 -1.338193898897531708e-01 1.095100284818448927e-01
4.862051853388259515e-01 -1.331309593947096748e-01 1.093568858413270506e-01
4.825569826003434093e-01 -1.324479322268431736e-01 1.091982992887091525e-01
4.789137554481207038e-01 -1.317702755830637840e-01 1.090344188766879385e-01
4.752761286465383983e-01 -1.310979561937716531e-01 1.088653926067931904e-01
4.716447089518273073e-01 -1.304309403527494082e-01 1.086913664057133910e-01
4.680200853857741650e-01 -1.297691939461803057e-01 1.085124841044553673e-01
4.644028295118694527e-01 -1.291126824808040696e-01 1.083288874202317786e-01
4.607934957134914855e-01 -1.284613711112227996e-01 1.081407159409712992e-01
4.571926214737535021e-01 -1.278152246663697145e-01 1.079481071123477853e-01
4.536007276567040614e-01 -1.271742076751541661e-01 1.077511962272263701e-01
4.500183187894545300e-01 -1.265382843912963851e-01 1.075501164174258451e-01
4.464458833450000164e-01 -1.259074188173658071e-01 1.073449986476987111e-01
4.428838940253698730e-01 -1.252815747280372760e-01 1.071359717118317428e-01
4.393328080448333783e-01 -1.246607156925794158e-01 1.069231622307722784e-01
4.357930674128664972e-01 -1.240448050965895915e-01 1.067066946526870480e-01
4.322650992166347517e-01 -1.234338061629903921e-01 1.064866912548625422e-01
4.287493159027386813e-01 -1.228276819723024410e-01 1.062632721473579372e-01
4.252461155579729812e-01 -1.222263954822083998e-01 1.060365552783238685e-01
4.217558821888982568e-01 -1.216299095464232621e-01 1.058066564409023552e-01
4.182789859999793691e-01 -1.210381869328859689e-01 1.055736892816255268e-01
4.148157836701572565e-01 -1.204511903412874285e-01 1.053377653102328532e-01
4.113666186275750092e-01 -1.198688824199499320e-01 1.050989939108290389e-01
4.079318213223881995e-01 -1.192912257820731431e-01 1.048574823543067108e-01
4.045117094974218230e-01 -1.187181830213615980e-01 1.046133358119604867e-01
4.011065884565500061e-01 -1.181497167270485482e-01 1.043666573702212302e-01
3.977167513306721913e-01 -1.175857894983311780e-01 1.041175480464414799e-01
3.943424793411293705e-01 -1.170263639582317383e-01 1.038661068056652009e-01
3.909840420604556721e-01 -1.164714027668993235e-01 1.036124305783174965e-01
3.876416976703545569e-01 -1.159208686343668054e-01 1.033566142787516878e-01
3.843156932168027562e-01 -1.153747243327771926e-01 1.030987508245937712e-01
3.810062648621644898e-01 -1.148329327080935963e-01 1.028389311568261855e-01
3.777136381342572347e-01 -1.142954566913068487e-01 1.025772442605548673e-01
3.744380281722896608e-01 -1.137622593091546785e-01 1.023137771864058160e-01
3.711796399695996840e-01 -1.132333036943660026e-01 1.020486150724994323e-01
3.679386686131056461e-01 -1.127085530954437531e-01 1.017818411669527551e-01
3.647152995194838931e-01 -1.121879708859996744e-01 1.015135368508619240e-01
3.615097086679226468e-01 -1.116715205736539263e-01 1.012437816617189207e-01
3.583220628295271104e-01 -1.111591658085124418e-01 1.009726533172187052e-01
3.551525197932426936e-01 -1.106508703912346681e-01 1.007002277394145467e-01
3.520012285883188374e-01 -1.101465982807039584e-01 1.004265790791814689e-01
3.488683297032788011e-01 -1.096463136013128836e-01 1.001517797409490346e-01
3.457539553013703193e-01 -1.091499806498753833e-01 9.987590040766688992e-02
3.426582294324880817e-01 -1.086575639021773731e-01 9.959901006596788564e-02
3.395812682415554340e-01 -1.081690280191773268e-01 9.932117603149533125e-02
3.365231801733521433e-01 -1.076843378528679757e-01 9.904246397436249072e-02
3.334840661738139866e-01 -1.072034584518103129e-01 9.876293794471398269e-02
3.304640198877736301e-01 -1.067263550663503646e-01 9.848266039836026109e-02
3.274631278531692780e-01 -1.062529931535294431e-01 9.820169222245783702e-02
3.244814696917193708e-01 -1.057833383816980527e-01 9.792009276120926253e-02
3.215191182960943639e-01 -1.053173566348435258e-01 9.763791984155822945e-02
3.185761400135742050e-01 -1.048550140166411848e-01 9.735522979885656569e-02
3.156525948262408621e-01 -1.043962768542384956e-01 9.707207750248107725e-02
3.127485365276969076e-01 -1.039411117017817188e-01 9.678851638137953017e-02
3.098640128963586204e-01 -1.034894853436939544e-01 9.650459844952619104e-02
3.069990658653301563e-01 -1.030413647977135722e-01 9.622037433126841288e-02
3.041537316889075249e-01 -1.025967173177016190e-01 9.593589328654703041e-02
3.013280411057159824e-01 -1.021555103962266675e-01 9.565120323597431362e-02
2.985220194985412911e-01 -1.017177117669351705e-01 9.536635078575421420e-02
2.957356870508679458e-01 -1.012832894067154654e-01 9.508138125243063843e-02
2.929690589001600065e-01 -1.008522115376630085e-01 9.479633868745059033e-02
2.902221452879294450e-01 -1.004244466288545107e-01 9.451126590152963969e-02
2.874949517066353044e-01 -9.999996339793827682e-02 9.422620448880829336e-02
2.847874790434334891e-01 -9.957873081254783876e-02 9.394119485078859799e-02
2.820997237208294206e-01 -9.916071809154582140e-02 9.365627622004116248e-02
2.794316778342649799e-01 -9.874589470610471709e-02 9.337148668367339921e-02
2.767833292866946349e-01 -9.833423038063125732e-02 9.308686320655076840e-02
2.741546619201753465e-01 -9.792569509354048796e-02 9.280244165426322633e-02
2.715456556445370873e-01 -9.752025907788587633e-02 9.251825681583002170e-02
2.689562865631481281e-01 -9.711789282185132044e-02 9.223434242613648415e-02
