# 
# U bar array from C:\Users\sethw\OneDrive\PythonFiles\grav_soliton\scripts\seth_temp\first_version.py
# 
# Max zeta: 25
# Zeta intervals: 2000
# Delta: 0.01249375312343828
# Epsilon convergence tolerance: 1e-06
# Specific zeta_s: 0.7
# Zeta_s_array: [0.01 0.05 0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65
#  0.7 ]
# Epsilon array: [-0.16340061 -0.16601414 -0.16950355 -0.17327381 -0.17737149 -0.18185462
#  -0.18679669 -0.19229811 -0.19849357 -0.20557617 -0.2138329  -0.22372475
#  -0.23607033 -0.25257336 -0.27807558]
# 
# u_bar,  A,  B
#     
6.318435322509659002e-01 -1.704580564689730238e-01 6.256795817096989787e-02
6.326264382848518775e-01 -1.699209243831857619e-01 6.304992700378872494e-02
6.333619471473072027e-01 -1.693837237503326432e-01 6.352792627037268103e-02
6.340503640510204431e-01 -1.688464961252902630e-01 6.400190019560486610e-02
6.346920001084856988e-01 -1.683092826033514566e-01 6.447179465160032819e-02
6.352871721919380876e-01 -1.677721238160262696e-01 6.493755715876388390e-02
6.358362027922763726e-01 -1.672350599270525651e-01 6.539913688603435360e-02
6.363394198771454846e-01 -1.666981306286157427e-01 6.585648465032367671e-02
6.367971567481902628e-01 -1.661613751377767900e-01 6.630955291515996941e-02
6.372097518975923247e-01 -1.656248321931078904e-01 6.675829578854432234e-02
6.375775488639571220e-01 -1.650885400515346435e-01 6.720266902003145526e-02
6.379008960876690892e-01 -1.645525364853838712e-01 6.764262999704485912e-02
6.381801467657517435e-01 -1.640168587796358435e-01 6.807813774043793009e-02
6.384156587063709587e-01 -1.634815437293795637e-01 6.850915289931279462e-02
6.386077941829799709e-01 -1.629466276374696709e-01 6.893563774510920450e-02
6.387569197883098404e-01 -1.624121463123838205e-01 6.935755616497601972e-02
6.388634062881884956e-01 -1.618781350662784335e-01 6.977487365443879597e-02
6.389276284752760660e-01 -1.613446287132411783e-01 7.018755730937729920e-02
6.389499650228585015e-01 -1.608116615677386840e-01 7.059557581732650577e-02
6.389307983387459977e-01 -1.602792674432572395e-01 7.099889944811599296e-02
6.388705144193103092e-01 -1.597474796511343387e-01 7.139750004386259674e-02
6.387695027038168272e-01 -1.592163309995792697e-01 7.179135100833135275e-02
6.386281559290752918e-01 -1.586858537928803603e-01 7.218042729568037441e-02
6.384468699845164963e-01 -1.581560798307966309e-01 7.256470539860544744e-02
6.382260437677460541e-01 -1.576270404081312471e-01 7.294416333590071633e-02
6.379660790406364024e-01 -1.570987663144844948e-01 7.331878063945176938e-02
6.376673802860935991e-01 -1.565712878341837533e-01 7.368853834067763675e-02
6.373303545654902535e-01 -1.560446347463876060e-01 7.405341895643878514e-02
6.369554113768925996e-01 -1.555188363253616202e-01 7.441340647442822032e-02
6.365429625141040271e-01 -1.549939213409227690e-01 7.476848633806289224e-02
6.360934219266450862e-01 -1.544699180590499155e-01 7.511864543089280533e-02
6.356072055806816223e-01 -1.539468542426572772e-01 7.546387206054552821e-02
